image,recall,rmse,psnr,ssim,fsim,issm,sre,sam,uiq,inference_time
85,0.6279,0.0061,44.3299,0.8728,0.3644,0.0,42.991,0.0018,0.0092,1.1048
86,0.5283,0.0065,43.7994,0.8404,0.3642,0.0,41.8474,0.0008,0.0035,1.0994
87,0.4412,0.007,43.0406,0.8031,0.3553,0.0,42.6886,0.0009,0.0034,1.1121
88,0.6372,0.0074,42.6173,0.8398,0.4034,0.0,42.8786,0.0011,0.0046,1.0947
89,0.4294,0.0068,43.3617,0.8108,0.354,0.0,42.7531,0.001,0.0032,1.1147
90,0.7179,0.0054,45.4112,0.8966,0.3942,0.0,42.1528,0.0016,0.0164,1.1123
91,0.4588,0.0084,41.5303,0.7822,0.3949,0.0,42.72,0.001,0.0146,1.0946
92,0.6066,0.0068,43.3333,0.8337,0.4041,0.0,41.9351,0.0009,0.0048,1.1111
93,0.5075,0.0077,42.2321,0.818,0.4,0.0,42.8236,0.001,0.0047,1.0939
94,0.4496,0.0075,42.5091,0.7999,0.3634,0.0,42.9856,0.0011,0.0123,1.1105
95,0.5771,0.0073,42.6854,0.8349,0.3631,0.0,42.3935,0.0015,0.0064,1.1105
96,0.5765,0.0058,44.7094,0.865,0.3763,0.0,42.8965,0.0018,0.0143,1.0943
97,0.4925,0.0073,42.7378,0.8109,0.385,0.0,42.7054,0.0016,0.0071,1.117
98,0.6105,0.0061,44.2357,0.8518,0.3998,0.0,41.5322,0.0008,0.0049,1.0996
99,0.5974,0.006,44.485,0.8594,0.3832,0.0,41.8861,0.001,0.0115,1.0945
100,0.5863,0.0069,43.24,0.8324,0.3727,0.0,42.4794,0.001,0.0107,1.1179
101,0.5144,0.0075,42.4691,0.8176,0.3608,0.0,42.94,0.0011,0.0052,1.0915
102,0.4758,0.0069,43.2223,0.8264,0.3901,0.0,42.9832,0.0015,0.0088,1.1168
103,0.4849,0.0078,42.1633,0.8086,0.3738,0.0,43.2699,0.0016,0.0063,1.1142
104,0.4454,0.0067,43.4403,0.8125,0.3584,0.0,42.4991,0.0009,0.0041,1.0947
